run_id,phase,host,runtime,model_id,weight_quant,kv_quant,rope_cfg,task,subset,ctx_len,extra,metric,value,n,raw_path,notes
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,4096,depth=0.1,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,4096,depth=0.3,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,4096,depth=0.5,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,4096,depth=0.7,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,4096,depth=0.9,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,16384,depth=0.1,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,16384,depth=0.3,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,16384,depth=0.5,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,16384,depth=0.7,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,16384,depth=0.9,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,32768,depth=0.1,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,32768,depth=0.3,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,32768,depth=0.5,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,32768,depth=0.7,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,32768,depth=0.9,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,63488,depth=0.1,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,63488,depth=0.3,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,63488,depth=0.5,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,63488,depth=0.7,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_zh,63488,depth=0.9,acc,1.0,3,results/raw/niah_p1-bf16_niah_zh.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_en,4096,depth=0.1,acc,1.0,3,results/raw/niah_p1-bf16_niah_en.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_en,4096,depth=0.3,acc,1.0,3,results/raw/niah_p1-bf16_niah_en.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_en,4096,depth=0.5,acc,1.0,3,results/raw/niah_p1-bf16_niah_en.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_en,4096,depth=0.7,acc,1.0,3,results/raw/niah_p1-bf16_niah_en.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_en,4096,depth=0.9,acc,1.0,3,results/raw/niah_p1-bf16_niah_en.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_en,16384,depth=0.1,acc,1.0,3,results/raw/niah_p1-bf16_niah_en.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_en,16384,depth=0.3,acc,1.0,3,results/raw/niah_p1-bf16_niah_en.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_en,16384,depth=0.5,acc,1.0,3,results/raw/niah_p1-bf16_niah_en.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_en,16384,depth=0.7,acc,1.0,3,results/raw/niah_p1-bf16_niah_en.jsonl,
p1-bf16,1,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp16,yarn4,niah,niah_en,16384,depth=0.9,acc,1.0,3,results/raw/niah_p1-bf16_niah_en.jsonl,
